location_type,family_income,financial_aid_status,distance_to_institute,internet_connectivity_issues,motivation_score,career_alignment,stress_levels,family_support,attendance_rate,test_scores_avg,backlogs,teaching_quality_rating,dropout
Urban,30681.0,1,4.6,0,5,1,1,3,77.2,67.1,1,4,0
Rural,17579.0,1,50.0,1,5,1,2,2,60.8,47.5,0,7,1
Urban,4952.0,1,5.3,2,3,1,2,1,57.2,66.2,0,8,1
Rural,14778.0,1,27.89,0,4,2,3,1,62.6,44.9,1,6,1
Semi-urban,8725.0,1,6.1,0,5,1,2,2,83.9,100.0,2,8,0
Rural,3480.0,0,12.61,0,8,2,3,3,55.0,78.8,1,7,0
Rural,12614.0,1,8.6,1,7,3,1,2,69.3,87.2,0,10,0
Rural,31353.0,1,17.93,0,5,2,2,2,82.4,71.8,0,7,0
Semi-urban,4437.0,2,7.2,1,6,3,1,3,27.9,67.4,0,8,0
Semi-urban,4922.0,0,8.2,1,5,2,2,3,77.9,81.3,1,10,0
Rural,5139.0,2,11.49,2,4,2,3,2,48.7,50.1,0,6,1
Semi-urban,45190.0,0,2.9,0,6,2,1,2,73.0,73.1,0,6,0
Rural,31307.0,2,17.65,2,5,2,3,2,61.9,61.0,1,6,0
Urban,4656.0,1,5.6,0,4,1,2,1,67.7,43.7,1,6,1
Semi-urban,7732.0,1,41.9,0,7,1,2,3,77.1,93.5,0,7,0
Rural,6491.0,2,7.49,1,4,2,2,1,76.4,77.9,2,4,0
Rural,7497.0,1,22.9,0,9,2,1,2,85.0,61.4,0,4,0
Semi-urban,14180.0,1,24.2,0,4,2,2,2,27.6,44.1,2,9,1
Urban,13764.0,0,11.2,0,7,2,3,1,48.8,64.2,1,2,1
Rural,7117.0,1,17.02,2,3,2,3,1,59.9,71.6,1,9,1
Semi-urban,26016.0,2,2.3,2,4,3,3,1,20.3,38.7,0,8,0
Urban,5961.0,2,28.4,0,6,2,2,2,52.6,52.3,1,3,0
Rural,27457.0,1,2.13,1,6,2,2,3,96.4,91.3,5,7,0
Urban,15637.0,1,10.9,2,1,1,3,1,51.7,60.6,1,6,1
Rural,5928.0,1,40.31,1,8,3,1,3,61.9,78.9,0,8,0
Semi-urban,5527.0,0,15.4,1,6,3,3,1,42.8,39.5,2,7,1
Rural,3759.0,1,1.76,0,3,1,3,2,55.2,86.9,0,9,1
Semi-urban,5005.0,2,13.1,1,4,2,2,1,61.9,68.5,0,10,0
Urban,4945.0,2,34.4,2,8,2,1,2,64.5,63.9,7,9,1
Urban,28939.0,1,7.6,1,4,3,2,1,16.7,42.5,1,8,0
Urban,6247.0,1,14.4,0,5,2,3,1,37.5,56.1,0,10,1
Urban,7545.0,1,2.0,2,1,1,2,2,38.2,35.0,9,3,1
Urban,10620.0,2,16.7,1,4,1,2,2,90.0,83.9,1,3,0
